cruise,station,season,bottom_depth_m,peak_rank,dcm_peak_depth_m,peak_fluorescence,prominence
HaiSec_35,H02,Summer,309.0,1,68.0,0.3480093975799263,0.23946385387974684
HaiSec_35,H03,Summer,563.0,1,55.0,0.35787547693034816,0.23448654624816648
HaiSec_35,H03,Summer,563.0,2,106.0,0.2786623746466894,0.09953790448101552
HaiSec_35,H04,Summer,1000.0,1,114.0,0.3900056963485208,0.307974573316146
HaiSec_35,H05,Summer,1454.0,1,121.0,0.3165236263128813,0.21784692752538065
HaiSec_35,H06,Summer,1676.0,1,126.0,0.4033480467047955,0.3046159446738336
HaiSec_36,H02,Winter,335.0,1,53.0,0.38090969966031946,0.21373608251409149
HaiSec_36,H03,Winter,635.0,1,58.0,0.350746711818987,0.15635240785132914
HaiSec_36,H04,Winter,1138.0,1,73.0,0.3953060768193144,0.19163356936001047
HaiSec_36,H05,Winter,1456.0,1,48.0,0.31954742809332737,0.07391580357233088
HaiSec_36,H06_GL,Winter,1709.0,1,83.0,0.28983309567764565,0.03820684883078135
HaiSec_37,H02,Summer,306.0,1,52.0,0.42802306286111147,0.3353678399314508
HaiSec_37,H03,Summer,568.0,1,67.0,0.35919207406751136,0.2624224668305923
HaiSec_37,H04,Summer,1100.0,1,68.0,0.2918211194381276,0.16380863117190744
HaiSec_37,H05,Summer,1440.0,1,119.0,0.34105972844718413,0.21881423137388217
HaiSec_37,H06,Summer,1720.0,1,124.0,0.3008542111453696,0.16583270282348195
HaiSec_37,g04,Summer,1790.0,1,111.0,0.30046109266571125,0.19530475944949133
HaiSec_37,g05,Summer,1880.0,1,123.0,0.3287765613443253,0.2145545029720681
HaiSec_38,H04,Winter,1132.0,1,112.0,0.3947738587549974,0.27107309197301477
HaiSec_38,H04_500,Winter,1134.0,1,115.0,0.36776433364124383,0.23911803895822784
HaiSec_38,H05,Winter,1457.0,1,105.0,0.40945590618578587,0.2773827057146754
HaiSec_38,H06,Winter,1730.0,1,98.0,0.41574220554394975,0.31935993267666385
HaiSec_39,H03a,Summer,600.0,1,87.0,0.4049053928453983,0.3294585288313946
HaiSec_39,H04,Summer,1146.0,1,95.0,0.4036082615151795,0.30240033649846243
HaiSec_39,H04b,Summer,1146.0,1,96.0,0.4520533176873699,0.3473447087235755
HaiSec_39,H05a,Summer,1428.0,1,125.0,0.4159822705131414,0.2527704251074329
HaiSec_39,H05b,Summer,1432.0,1,125.0,0.3989817239606697,0.3001075778392329
HaiSec_39,H06a,Summer,1730.0,1,113.0,0.4421754101410209,0.3003786816440857
HaiSec_39,H06b,Summer,1730.0,1,119.0,0.4218961549262157,0.24641939096693077
HaiSec_41,H02,Winter,340.0,1,63.0,0.21236717379888714,0.06970625847246742
HaiSec_41,H03,Winter,570.0,1,72.0,0.3241659124864546,0.1439487102913004
HaiSec_41,H04,Winter,1147.0,1,66.0,0.28739940786530654,0.11381221262923286
HaiSec_41,H05,Winter,1481.0,1,55.0,0.21971361196625105,0.11048559297959018
HaiSec_41,H06,Winter,1731.0,1,56.0,0.38013133015424466,0.16894492126099772
HaiSec_41,g05,Winter,1906.0,1,57.0,0.3270764528212152,0.16652120618017466
HaiSec_42,H02,Summer,375.0,1,82.0,0.6569954007288243,0.4453906130214069
HaiSec_42,H03,Summer,572.0,1,75.0,0.41063361214577354,0.17319513645516896
HaiSec_42,H04,Summer,1135.0,1,130.0,0.3992132058517448,0.16151030162323987
