variable,PC1_loading,PC2_loading,PC1_correlation,PC2_correlation,dataset
Temperature,-0.342833979200844,-0.31121103049857746,-0.8327689666372373,-0.43930438237125596,16S
Salinity,-0.34778139741611686,-0.3405645236722536,-0.8447866095915879,-0.48073966880195207,16S
O₂,-0.22507928037848543,0.5710572392728522,-0.5467341369404811,0.8061023653161985,16S
Fluorescence,-0.26691049096189884,0.28495124200357663,-0.6483452260511258,0.4022361584477184,16S
NO₃+NO₂,0.39881381562973245,-0.1569096378467215,0.9687481092066977,-0.2214930859999402,16S
PO₄,0.39808211776911134,-0.165352293117909,0.9669707612533225,-0.2334107081148781,16S
Silicate,0.384489555247081,-0.17091104741639773,0.9339534265311072,-0.24125742588686375,16S
pH,-0.36013251418613934,-0.17934784471497286,-0.8747883812169197,-0.25316677890852335,16S
Alkalinity,-0.21109616714325816,-0.5162573660928964,-0.5127681257929985,-0.7287470594879442,16S
Temperature,-0.34106383701474696,-0.3158910615160544,-0.8215964287040501,-0.45523927392040625,18S
Salinity,-0.34443582464287575,-0.35320604648570164,-0.8297192863401854,-0.5090149223430184,18S
O₂,-0.21365068422760863,0.5748553403005613,-0.5146679891013781,0.8284397996946662,18S
Fluorescence,-0.2601897313434338,0.29013699142304383,-0.6267769574409274,0.41812437705257727,18S
NO₃+NO₂,0.4004371946151936,-0.16374966256177365,0.9646222592689783,-0.23598413051502182,18S
PO₄,0.39971069774129864,-0.17331003356355948,0.9628721844375884,-0.2497618434150796,18S
Silicate,0.386398925123943,-0.18017030351205748,0.9308051528288785,-0.25964836662109786,18S
pH,-0.3631924788289795,-0.1738504111082747,-0.8749026169114456,-0.25054059631779996,18S
Alkalinity,-0.22441616671012693,-0.49120725410265725,-0.5406012045320443,-0.7078922481343,18S
