OTUID,SILVA_Order,SILVA_Family,SILVA_Genus,GTDB226_Order,GTDB226_Family,GTDB226_Genus,GTDB226_confidence,preferred_label,ecological_guild,annotation_source,annotation_note,analysis_label,label_basis,decision_rule,ecological_group,preferred_label_old,annotation_source_old
4a52428d397d1b8bd0ffcbeffd5a9097,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__HIMB59,g__HIMB59,0.999999999999994,AEGEAN-169 / HIMB59,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169 / HIMB59,SILVA-ecological+GTDB
74f272a55887cccb50239b4e8b2b9f8f,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,g__AG-337-I02,0.9999837481692504,AEGEAN-169 / AG-337-I02,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169 / AG-337-I02,SILVA-ecological+GTDB
84b738cddad75358f87ba65365842a87,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,g__AG-337-I02,0.9949845265955212,AEGEAN-169 / AG-337-I02,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169 / AG-337-I02,SILVA-ecological+GTDB
3d23d4637929d4151bc3f4d76ed15253,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,,0.9997086069131114,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB
c6fcc02fb7d1d1f59ddc197cd8da558c,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,,0.995171125543302,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB
4583fd18d2f1cd6a78f626db363e5d24,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,,,,0.9999999999999988,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB
7aefd28b11a35426f768b29b99c925cc,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,g__AG-337-I02,0.9388816448358596,AEGEAN-169 / AG-337-I02,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169 / AG-337-I02,SILVA-ecological+GTDB
48815a888de8dd413b796ba713431bb1,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__HIMB59,g__HIMB59,0.8801485899429388,AEGEAN-169 / HIMB59,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169 / HIMB59,SILVA-ecological+GTDB
690af328009c9881adf8cbde816c3ca3,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,g__AG-337-I02,0.8767770708329513,AEGEAN-169 / AG-337-I02,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169 / AG-337-I02,SILVA-ecological+GTDB
ed6bdc7fa0a9e6508e45c9cf7b3c9fb5,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,,0.9951850202529456,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB
2c142b7d2e61e9099a49974cc6e54331,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,g__AG-337-I02,0.9999738271243116,AEGEAN-169 / AG-337-I02,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169 / AG-337-I02,SILVA-ecological+GTDB
4dde21e4ddeb5fd2b3c76268b37201bc,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,o__HIMB59,f__GCA-002718135,,0.9994293535583824,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB,,AEGEAN-169,SILVA ecological lineage,ecological_clade_retained,AEGEAN-169,AEGEAN-169,SILVA-ecological+GTDB
