OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
94a848578345015803f5ac9aded76492,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__[Anaerorhabdus]_furcosa_group,s__uncultured_bacterium
bf6d2861b04fb9d3fe7eb50d737cdb35,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,s__Cysteiniphilum_litorale
7e983ddd900e108164f41222bcd47f27,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,s__uncultured_bacterium
cb0b032293008c750e58cc93b59bd791,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,s__Fastidiosibacteraceae_bacterium
1ea6b9445c0cf2a68b61f498225fa707,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
35d4a6eb1263f205f186243ea8a59f36,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
74bd56fa1efbcc1a0dc1b576ad778838,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
a423958f9b48941c106b04a062a7fcac,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
c8961fd03776ee50975b542b536974a2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
c77b0aac729bd35ad64a0f493edc1691,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,s__uncultured_bacterium
9ca6dd36d6708077af6d52a7263e5e30,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
aeeae592b458df4bee600305ddbee6fe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,s__Cysteiniphilum_litorale
e6e26b9a41759a90196a1d5310dbdbef,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
596e33a2b829ad8dc8cc5471c0ba2c12,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,s__uncultured_bacterium
40511241c6dfdb9fc10f72a7f5c916ab,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,s__Cysteiniphilum_litorale
7d222f4417747adf75bac12f07d08ddd,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
d78b71a7c96cac810e82ef072e80fe8e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__[Caedibacter]_taeniospiralis_group,
