OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
f87697377ce75a17bca1c1c96f4d0bad,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
35d4a6d176061609f7d4c98fa4c442f2,Eukaryota,TSAR_Rhizaria_Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX,Acantharea_1_XX_sp.
12a868306760aec11ef3392109b490dc,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-29,Dino-Group-II-Clade-29_X,Dino-Group-II-Clade-29_X_sp.
5c917994e1f55b588837880afaf5f4ee,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,
e5b45cdeb78a2723789339724b60bde5,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Nassellaria,Collodaria_X,Collodaria_XX,Collodaria_XX_sp.
b4427753538de114687ed098ef075fae,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
e97d82d780fe18415c56d2ca611cff60,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
a46519c07ee8d0de7cbfdcce41318742,Eukaryota,Archaeplastida_Chlorophyta_Chlorophyta_X,Mamiellophyceae,Dolichomastigales,Crustomastigaceae,Crustomastigaceae-AB,Crustomastigaceae-AB_sp.
f9bae72a46b8dd435c480dcb504675ed,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-III,RAD-B_X_Group-III_X,RAD-B_X_Group-III_X_sp.
a9f0b65b6dd9cb4d4f0e0b6eaaad5711,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
c6564977079ffaf9a3ae9355d36359c4,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
89fd92680b23ce1ebbae97144b35dd34,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-II,RAD-B_X_Group-II_X,RAD-B_X_Group-II_X_sp.
5a9a930f5693ad75c0bc78f34a275aa1,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
5fb35e72094f8122a02b7bbfa021cc5e,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
a1d66653414117082b6f09438ce4bb1c,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
798436e656f39eabaf3eb51667d0854d,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ia,RAD-B_X_Group-Ia_X,RAD-B_X_Group-Ia_X_sp.
08f6f94aa0b4bc03904b16e2db3d36d7,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
939de29e08d0ec98931fdda471f342b0,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
28c9ee5589d30e3aee2c805f02b8c9bf,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.
b526b272004c0de83c740e466e35925d,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.
2265ee44d2aaa2665baf48cec9ba358f,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ib,RAD-B_X_Group-Ib_X,RAD-B_X_Group-Ib_X_sp.
f9059747fe2fba76266473521702eed1,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.
1ebd2a016ccd9992998445ca986324de,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,,,,
215278e0be983399c7bf9851df6cd391,Eukaryota,TSAR_Stramenopiles_Gyrista,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Pelagomonas,Pelagomonas_calceolata
76f1c6199f2f90ac8a337ce9d5d83a61,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-IV,Dino-Group-IV-Hematodinium-Group,Hematodinium,Hematodinium_sp.
18171e40c22d55bbaa5f3d681511ea9b,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Spumellaria,Astrosphaeridae,,
e60261be508938c8e2705acba66774da,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
66c8a3ff017ceb9bd338b0158e727041,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
daf2de18c391c8b85d2f17ae629968a3,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-16,Dino-Group-II-Clade-16_X,Dino-Group-II-Clade-16_X_sp.
3746cc5e8caf70e1a30a64e66eb053dd,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.
9317fa092eae5e6fb3d12c97bfd0f70f,Eukaryota,TSAR_Stramenopiles_Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_tenuissimus
380006f2986906a8e976911b727a80e2,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ic,RAD-B_X_Group-Ic_X,RAD-B_X_Group-Ic_X_sp.
00f921721cdbc5bcb5938ce796054e0d,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,
ccb6f450403d22547d980035a37c46b0,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
b7d732c1d760c96fcd415c1d673b6c46,Eukaryota,Haptista_Haptophyta_Haptophyta_X,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,,
f58b8156a6fd3652556ba6b046f2eb0d,Eukaryota,TSAR_Stramenopiles_Bigyra,Opalozoa,Nanomonadea,MAST-3,MAST-3A,MAST-3A_sp.
d0a6de5fdaa4c2380f318da5be498daa,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
e184059d97bb6dff32a28c4c7378fcf5,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ib,RAD-B_X_Group-Ib_X,RAD-B_X_Group-Ib_X_sp.
5f16b5d24e786301f6e92831a7d4de38,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
7b5cf806b7d9882f41934368a454e280,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-27,Dino-Group-II-Clade-27_X,Dino-Group-II-Clade-27_X_sp.
248690c6b995212af1c79d9b4858202f,Eukaryota,Archaeplastida_Chlorophyta_Chlorophyta_X,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos
5eafa074940d0014a3c5dc619897a4ca,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.
1cdea78c6730d65b54f1811d2c6a2fb2,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-21,Dino-Group-II-Clade-21_X,Dino-Group-II-Clade-21_X_sp.
945a6ed03fe74d8bad41455e75994d53,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Gymnodiniales,,,
cb5b078ac44130e92de6fd30a3c07fa8,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
49fbc39ba5a63acf2265b5155faebaa5,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Nassellaria,Sphaerozoidae,,
39bebf5316f18121bae7d462642ea19a,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Spumellaria,Excentroconchidae,,
