min_spanning_profiles,state,layer,optimum_m,max_partial_R2,profiles_spanning_at_optimum,deepest_supported_threshold_m
10,pooled,16S,220.0,0.37688394362438815,31.0,420.0
10,pooled,18S,220.0,0.2191367537043487,31.0,420.0
10,pooled,traits,110.0,0.47453312674969783,32.0,420.0
10,A_Winter,16S,220.0,0.4810865508298122,15.0,420.0
10,A_Winter,18S,220.0,0.2619080146719077,15.0,420.0
10,A_Winter,traits,110.0,0.5221771019703176,15.0,420.0
10,Summer,16S,160.0,0.37058505928280794,16.0,420.0
10,Summer,18S,160.0,0.23046419283356281,16.0,420.0
10,Summer,traits,80.0,0.5054711490788931,17.0,420.0
12,pooled,16S,220.0,0.37688394362438815,31.0,420.0
12,pooled,18S,220.0,0.2191367537043487,31.0,420.0
12,pooled,traits,110.0,0.47453312674969783,32.0,420.0
12,A_Winter,16S,220.0,0.4810865508298122,15.0,370.0
12,A_Winter,18S,220.0,0.2619080146719077,15.0,370.0
12,A_Winter,traits,110.0,0.5221771019703176,15.0,370.0
12,Summer,16S,160.0,0.37058505928280794,16.0,420.0
12,Summer,18S,160.0,0.23046419283356281,16.0,420.0
12,Summer,traits,80.0,0.5054711490788931,17.0,420.0
15,pooled,16S,220.0,0.37688394362438815,31.0,420.0
15,pooled,18S,220.0,0.2191367537043487,31.0,420.0
15,pooled,traits,110.0,0.47453312674969783,32.0,420.0
15,A_Winter,16S,220.0,0.4810865508298122,15.0,230.0
15,A_Winter,18S,220.0,0.2619080146719077,15.0,230.0
15,A_Winter,traits,110.0,0.5221771019703176,15.0,230.0
15,Summer,16S,160.0,0.37058505928280794,16.0,280.0
15,Summer,18S,160.0,0.23046419283356281,16.0,280.0
15,Summer,traits,80.0,0.5054711490788931,17.0,280.0
