analysis,state,layer,threshold_m,partial_R2,n_profiles_spanning
matched,A_Winter,16S,220.0,0.4810865508298122,15
matched,A_Winter,18S,220.0,0.2619080146719077,15
matched,A_Winter,traits,110.0,0.5221771019703176,15
matched,Summer,16S,160.0,0.3705850592828079,16
matched,Summer,18S,160.0,0.2304641928335628,16
matched,Summer,traits,80.0,0.5054711490788931,17
matched,pooled,16S,220.0,0.3768839436243881,31
matched,pooled,18S,220.0,0.2191367537043487,31
matched,pooled,traits,110.0,0.4745331267496978,32
long_16S_2018_2026,A_Winter,16S,220.0,0.3805018637977143,48
long_16S_2018_2026,Summer,16S,140.0,0.3723304383897383,43
long_16S_2018_2026,pooled,16S,170.0,0.3530892721550916,88
