,A_surface,B_nearsurface,C_DCM,D_below_DCM,F_300-600,G_below_600,H_near_bottom
Prymnesiales,4.443979156872583,3.887215986860115,1.8512767999667061,0.5165536069478492,0.11783007824533301,0.07105131932095671,0.08583077033116372
Nanomonadea,2.4141592920353983,1.9575444394161046,1.7409429332921889,0.9034140139870097,0.06848232629194542,0.0473964490882435,0.06578947368421052
Syndiniales (unresolved),2.076772949867695,1.5780240394636282,1.6260377738233807,1.0242748341702115,0.15418017054214783,0.05325752344942277,0.04791428746410931
Dinophyceae,20.51269454927093,17.63105201006315,13.9483488016339,6.807310802473497,4.379736307066724,2.1950582502754203,2.3955108359133126
Gymnodiniales,3.4077486182934393,2.520417137831386,1.7955600200377912,1.1329279639588532,0.5532120646247728,0.47233733005680206,0.5485310524358498
Prorocentrales,9.115570099896658,7.230542155662755,5.470563066883803,3.969449140626493,2.4850703140050086,2.1398881976737156,2.1439628482972135
Spumellaria,0.00447267197423741,0.019154397211119764,3.204534641877619,9.885084893747527,4.833277466519816,1.2528612540596518,0.517103712246993
Acantharea,0.0,0.0,0.003182615944591006,5.9387766904081385,1.7677261179313164,0.47169196746912967,0.25326123373886356
Syndiniales Group I,12.336283185840708,15.938316007291718,18.00663769689878,13.699890187510011,18.302280217932335,12.18284417674611,8.280561185460911
Syndiniales Group IV,0.01099278598419787,0.0432864164432529,0.12096141521150006,0.15434477296083135,2.2286082927687527,0.3863180937511753,0.5164583214094531
Syndiniales Group II,8.896971860843951,13.65788817811747,19.082524815295898,23.600397372682657,27.896577896577895,34.786877514784976,32.03550060553477
RAD-B,0.0,0.0,3.4609373866349005,4.492934979691631,9.034461842966367,12.94092886400944,10.771362858996286
Diplonemida,0.0,0.14404774153719518,0.8167403984530142,3.4725841857990023,11.848206513049194,20.81356529500374,20.894026065931474
Nassellaria,0.019071091159815746,0.0723733466433741,0.05944890175031671,0.3949026099604671,2.2195332106014023,0.6525266316049809,5.7549415431554864
