group18_precise,tax16,tax18,fw_weight
Syndiniales,SAR116 clade,Dino-Group-II-Clade-16,0.198290
Syndiniales,HgCo23,Dino-Group-II-Clade-22,0.175677
Syndiniales,Rhodobacteraceae,Dino-Group-II-Clade-16,0.166922
Parasitic dinoflagellates,SUP05 cluster,Hematodinium,0.165698
Radiolaria / Acantharea,Rickettsiales,Cycladophora,0.265094
Radiolaria / Acantharea,Vicinamibacterales,RAD-B Group-II,0.213481
Radiolaria / Acantharea,LS-NOB,Acanthoplegma,0.204342
Radiolaria / Acantharea,LS-NOB,Radiolaria,0.197054
Diplonemids,Microtrichaceae,Diplonemida DSPDII,0.448137
MAST,OCS116 clade,MAST-1A,0.405875
Labyrinthulomycetes,EPR3968-O8a-Bc78,Labyrinthulomycetes LAB15,0.166855
Pelagophytes,Alphaproteobacteria,Pelagomonas,0.203024
Amoebozoa,Phenylobacterium,Acanthamoeba,0.206634
Unresolved eukaryote,Prochlorococcus MIT9313,PHYLL 4,0.166162
