dataset,season,coordinate,median,q025,q975,IQR
16S,A_Winter,depth_m,180.0,169.25000000000003,220.0,50.0
16S,A_Winter,sigma_theta,28.78524934096868,28.74732679934737,28.90218935126404,0.152720661567173
16S,A_Winter,salinity,39.1595,39.1227,39.162365,0.0367999999999995
16S,A_Winter,oxygen_umol_kg,202.37399,193.578,204.74967500000002,10.996999999999986
16S,A_Winter,hydro_PC1,0.3764028546057827,-0.0939973073135581,0.46731831080647185,0.5572763128662833
16S,Summer,depth_m,140.0,140.0,150.25000000000006,10.0
16S,Summer,sigma_theta,28.681392773560788,28.681392773560788,28.716863036115278,0.03461118257416729
16S,Summer,salinity,39.16505,39.15845,39.16505,0.006599999999998829
16S,Summer,oxygen_umol_kg,210.904,207.773982625,210.904,3.081504999999993
16S,Summer,hydro_PC1,0.7108571725151485,0.5745431427149323,0.7108571725151485,0.13208708454742468
18S,A_Winter,depth_m,220.0,120.0,240.0,20.0
18S,A_Winter,sigma_theta,28.886529872067054,28.557508871290903,28.984533389217177,0.07071112107155031
18S,A_Winter,salinity,39.12575,39.0994,39.25495,0.019350000000002865
18S,A_Winter,oxygen_umol_kg,189.3405,187.024,212.226995,5.912499999999994
18S,A_Winter,hydro_PC1,-0.3424912157637838,-0.6877663525746186,1.1587736764736565,0.3503690708814636
18S,Summer,depth_m,160.0,120.0,220.0,10.0
18S,Summer,sigma_theta,28.62044479520273,28.43373623164064,28.92050282917512,0.03178875761273048
18S,Summer,salinity,39.1529,39.1197,39.17475,0.011350000000000193
18S,Summer,oxygen_umol_kg,196.855,186.795,210.998495,4.5730000000000075
18S,Summer,hydro_PC1,0.2878280855371919,-0.3818472885423856,0.6906274423676373,0.16950161669727426
18S_function,A_Winter,depth_m,120.0,100.0,220.0,100.0
18S_function,A_Winter,sigma_theta,28.557508871290903,28.52121501919453,28.886529872067054,0.3290210007761516
18S_function,A_Winter,salinity,39.25485,39.12575,39.26505,0.1291000000000011
18S_function,A_Winter,oxygen_umol_kg,212.226995,189.3405,214.477,22.886494999999996
18S_function,A_Winter,hydro_PC1,1.1587736764736565,-0.3424912157637838,1.4156994327100076,1.5012648922374403
18S_function,Summer,depth_m,120.0,110.0,160.0,30.0
18S_function,Summer,sigma_theta,28.43373623164064,28.369333910595174,28.62044479520273,0.1549198059493584
18S_function,Summer,salinity,39.15755,39.1499,39.17475,0.011350000000000193
18S_function,Summer,oxygen_umol_kg,210.998495,196.855,216.010495,9.570494999999994
18S_function,Summer,hydro_PC1,0.6906274423676373,0.2878280855371919,0.8784921148537423,0.23329774013317112
