ecological_guild,fraction_of_selected_reads_pct
Other / unresolved,27.681218
SAR11,21.879788
Ammonia oxidizers (AOA),11.238135
SAR86,7.117096
AEGEAN-169,5.564754
SAR406 / deep heterotrophs,5.261011
SAR202 / deep heterotrophs,5.089958
Picocyanobacteria,3.575223
SAR324 / deep heterotrophs,3.312979
Marine Group II Archaea,2.338387
Marine Group III Archaea,1.852856
Rhodobacteraceae,1.410580
Microtrichaceae,1.018861
KI89A,0.827766
Nitrite oxidizers / nitrifiers,0.728493
Sulfur oxidizers,0.705743
Aerobic methanotrophs,0.397151
